Horodateur,Catégorie,Type de Question,Question,Réponse,Quelle est la difficulté de la question ? (subjectif),Votre nom,"Est-ce une question Troll ? (réponse sincère attendue, on pourra peut-être en faire un aspect du Trivial)",Nombre de Question
30/01/2020 20:23:34,Géographie (Cartographie & Géographie humaine),Question classique,Quelle est la 17 station de la ligne 9 en partant de mairie de Montreuil?,Richelieu-Drouot,3,Lou,Non,
30/01/2020 20:32:46,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Que fait Pierre afin d'éviter d'accumuler des végétaux chlorophylliens de petite taille qui ne possèdent pas de racine?,Il roule,3,,Oui,
31/01/2020 12:40:36,Géographie (Cartographie & Géographie humaine),Question classique,"En Europe, que désigne le sigle sis?",Système d’information schengen ,3,Alice,Non,
31/01/2020 12:46:24,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,"Comment se nomme l’album de JUL duquel est tiré ""C'est pas des lol"" ?",Cest pas des lol,1,Alice,Non,
31/01/2020 12:49:53,Histoire (Politique & Date),Question classique,Quand est proclamée la loi fondamentale allemande?,23 mai 1949,2,Alice,Non,
31/01/2020 12:51:19,Histoire (Politique & Date),Question classique,Qu’est ce que le PNR?,Passenger name records ,3,Alice,Non,
31/01/2020 12:52:22,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Qui chante “Si j’avais un marteau” ?,Claude francois,1,Alice,Non,
31/01/2020 16:37:41,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,"Dans quelle ville se situe le Burj Khalifa, qui est le plus grand bâtiment du monde?",Dubaï,2,Lou,Non,
31/01/2020 17:39:00,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Qu'est ce que l'effet Mandela?,C'est lorsque de nombreuses personnes partagent un souvenir commun qui est faux.,3,Lou,Non,
31/01/2020 20:38:24,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Quels sont les trois films Disney qui ont parmi leurs personnages principaux un renard?,"Rox et Rouky, Robin des bois et Zootopie",2,Lou,Non,
01/02/2020 14:13:37,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Quel est le plus long os du corps humain?,Le FéMuR,1,Lou,Non,
01/02/2020 15:37:10,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)","QCM (séparer les choix avec des "";"" )","Lequel de ces chefs d'état est-il fan de Jean-Claude Van Damme?:
Justin Trudeau;
Kim Jong Un;
Donald Trump;
Vladimir Poutine",Kim Jong Un ,3,Lou,Non,
01/02/2020 15:40:56,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)","QCM (séparer les choix avec des "";"" )","Avec quelle partie du corps Jean-Claude Van Damme prétend t-il pouvoir casser une noisette? :
Sa tête;
son point;
Un doigt seulement;
Ses fesses ",Ses fesses ,2,Lou,Non,
02/02/2020 02:40:16,Histoire (Politique & Date),Question classique,Sous quel régime est apparu le code civil ?,1er empire ,2,Samuel et Starfou,Non,
02/02/2020 02:41:52,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,Quel youtubeur a pour gimick FAUX ?,Norman fait des vidéos ,2,Samuel et starfou,Non,
02/02/2020 02:43:25,Géographie (Cartographie & Géographie humaine),Question classique,Combien jours de soleil y a t il à Marseille par an? ,363/365,5,Samuel et starfou,Oui,
02/02/2020 02:43:42,Géographie (Cartographie & Géographie humaine),Question classique,Combien jours de soleil y a t il à Marseille par an? ,363/365,5,Samuel et starfou,Oui,
02/02/2020 02:44:29,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Qui a inventé le montage par attractions ? ,Eisenstein,5,Samuel et starfou,Non,
02/02/2020 02:46:26,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,"Paul Verlaine a tiré sur Arthur Rimbaud, vrai ou faux? ",Vrai,4,Samuel et starfou ,Non,
02/02/2020 02:47:19,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,"Le blop est il vrai, oui ou non? ",Oui+++,3,Samuel et starfou,Non,
02/02/2020 02:48:04,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Quel arbre porte un fruit s’appelant kaki ? ,Plaqueminier ,5,Samuel et starfou ,Non,
02/02/2020 02:49:40,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,De qui entre le boa et le crocodile gagne ? ,Boooa,4,Samuel et starfou ,Non,
02/02/2020 10:23:26,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question JO d'un autre siècle,Qui sont les deux co-capitaines de l'équipe des États-Unis lors des jeux olympiques de 1992 aussi appelée la Dream Team 92 ? ,"Larry ""Legend"" Bird et Earvin ""Magic"" Johnson. ",5,Marius,Non,
02/02/2020 10:28:32,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,Pour quelle raison Magic Johnson met-il un terme à sa carrière NBA en 1991 ?,Sa seropositivité,4,Marius,Non,
02/02/2020 10:30:13,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,Quel est le nom de naissance de Mohamed Ali ? ,Cassius Clay,4,Marius,Non,
02/02/2020 10:32:54,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,Combien de joueurs Luis Suarez a-t-il mordu en plein match au cours de sa carrière ?,3,3,Marius ,Non,
02/02/2020 10:38:23,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,Citez 5 des 10 films les mieux notés sur Imdb. ,Les évadés; le parrain 1; le parrain 2; Batman the Dark Knight; Douze hommes en colère; la liste de Schindler; LOTR le retour du roi; Pulp Fiction; le bon la brute et le truand; LOTR la communauté de l'anneau,3,Marius,Non,
02/02/2020 10:44:32,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,"Combien y a t il de tomes dans l'univers de l'Assassin Royal, en version française ? (aventuriers de la mer et cité des anciens compris) à 2 tomes près. ",36,3,Marius ,Non,
02/02/2020 10:55:43,Géographie (Cartographie & Géographie humaine),Question classique,Comment s'appelle l'égérie de la Ratp ? Serge;Georges;Thomas;Christophe ,Serge,3,Marius,Non,
02/02/2020 11:05:22,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Sur combien de bits est codé un pixel RGB (ou RVB)? ,24 bits,3,Marius,Non,
02/02/2020 11:50:18,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Quel est le plus que parfait du verbe fendre à la première personne du pluriel ?,Nous avions fendu,2,Félicien,Non,
02/02/2020 11:51:12,Géographie (Cartographie & Géographie humaine),Question classique,Dans la banlieue de quelle ville européenne se trouve Postdam ?,Berlin,2,Félicien,Non,
02/02/2020 11:51:53,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Quelle est le prénom du cousin de Donald Duck ?,Gontran (Bonheur),3,,Non,
02/02/2020 11:53:14,Histoire (Politique & Date),Question classique,Citez trois candidats à l'élection présidentielle après 2010 dont le prénom est François,Hollande Bayrou Asselineau,1,Félicien,Non,
02/02/2020 11:55:36,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,"Qui chante : ""Dans les yeux d'Emilie"" ?",Joe Dassin (le meilleur RIP),3,Félicien,Non,
02/02/2020 11:56:54,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,"Orthographiez ""ornithorynque""",Ornithorynque,3,Félicien,Non,
02/02/2020 11:56:55,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,"Dans One Piece, quelle est le nom du fruit du démon de Trafalgar D. Water Law ? ""Ope Ope no Mi""""Opa Opa no Mi""""Opu Opu no Mi""""Opo Opo no Mi""",Ope Ope no Mi,3,,Non,
02/02/2020 11:59:32,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"Au tennis, un carré de service est il plus long (côté perpendiculaire au filet) ou large (côté parallèle au filet) ?",Long,1,Félicien,Non,
02/02/2020 12:00:29,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,"Dans le système de notation musicale américain, à quelle note correspond la lettre G",Sol,4,,Non,
02/02/2020 12:02:29,Géographie (Cartographie & Géographie humaine),Question classique,Citer au moins 3 des anciennes merveilles du monde !,"La pyramide de Khéops à Gizeh en Égypte, les Jardins suspendus de Babylone, la statue de Zeus à Olympie, le temple d'Artémis à Éphèse, le mausolée d'Halicarnasse, le colosse de Rhodes et le phare d'Alexandrie",3,,Non,
02/02/2020 12:09:02,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Quelle os est aussi appelé Scapula ?,L' omoplate.,4,Votre réponse,Non,
02/02/2020 12:13:02,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)","QCM (séparer les choix avec des "";"" )","Qui a rédigé l'oeuvre ""L'art de la guerre"" ? ""jackie chan"""" Wu Zixu""""sūn Zǐ bīngfǎ""""Sun Tzu""",Il s'agit évidement de Sun Tzu !,3,Votre réponse,Non,
02/02/2020 12:17:31,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)","QCM (séparer les choix avec des "";"" )","De tous les records homologués aux JO d’athlétismes, un seul est détenu par une femme. Quel est la discipline pratiquée par celle-ci ?","Il s'agit du Lancer de disque (72.30m pour L'allemande de l'Est Martina Hellmann en 1988 contre 69.89m pour le Lituanien, Virgilijus Alekna en 2004)",4,Suzanne Bolt,Non,
02/02/2020 12:18:13,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)","QCM (séparer les choix avec des "";"" )","Dans l'oeuvre HARRY POTTER, quelle est le nom du sort qui est utilisé par Harry dans le but de faire souffrir son adversaire ? (Livre de potions du Prince de Sang-Mêlé)""Serumsmecta""""Sectumsempra""""Kaméahméah""""lumos""",Sectumsempra,1,Votre réponse,Non,
02/02/2020 12:19:26,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,Quel est le pays vainqueur de la coupe du monde de football en 2002,Brésil,2,Laurent Bleu,Non,
02/02/2020 12:27:06,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,"Quel est la différence entre une bière ""Porter"" et ""Stout""",Le degré d'alcool (une stout est une porter avec + d'alcool),2,Pierre André,Non,
02/02/2020 12:35:39,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Quel est l'ingrédient qu'il faut obligatoirement ajouter lorsque l'on veut créer une bière blanche (pour respecter le cahier des charges),"Du blé (il en faut minimum 30% dans la recette pour pouvoir la vendre en tant que ""bière blanche"")",3,Laurent Blanc,Non,
02/02/2020 12:46:40,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)","QCM (séparer les choix avec des "";"" )","Quel est le nombre de joueurs dans une partie de League of Legends ?  ""5"" ""10"" ""2""",10 joueurs,3,Solal,Non,
02/02/2020 12:51:38,Géographie (Cartographie & Géographie humaine),Question classique,Quels sont les frontières communes du Zimbabwe ? ,"Botswana, Afrique du Sud, Mozambique et Zambie",5,Solal,Non,
02/02/2020 13:17:36,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,Quelle était le prix du paquet de cigarette camel rigide en euros (paquet de 20) en France le 13 octobre 2012 ? ,6€50,2,B2o,Non,
02/02/2020 13:27:56,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Je pars faire une randonnée sur la  Lune ; est-ce qu’une boîte d’allumette ou un briquet doit faire partie de mon kit de survie ?,"Non, sans intérêt sur la Lune ça sans oxygène impossible de les allumer.",3,Agnès L,Non,
02/02/2020 15:03:13,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Quel est le prénom de la fille cadette du père Groriot (roman d’honoré de Balzac) ?,Delphine (de Nucingen),4,B2o,Non,
02/02/2020 15:04:31,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,De quel roman Winston Smith est il le personnage principal ?,1984 de George Orwell,3,Lou,Non,
02/02/2020 15:05:57,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,"Quel groupe a sortit le titre ""Anna ""en 1977?","Téléphone est le premier album du groupe Téléphone, sorti en 1977. Il est parfois appelé Anna, du nom de la première chanson de l'album.",3,cousin,Non,
02/02/2020 15:09:45,Histoire (Politique & Date),Question classique,Quelle est la date de la prohibition de cannabis en France ?,"Pour comprendre le combat de la France contre le cannabis, il faut remonter le temps, plus concrètement jusqu'en 1916. Le 12 juillet de cette même année était publiée la première loi qui interdisait ouvertement la consommation de cannabis, qualifiée dans ce texte de « substance venimeuse ».",4,cousin,Non,
02/02/2020 15:15:17,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,Quelle est la finesse moyenne des voiles de parapente EN B en 2019,aux alentours de  10,4,cousin,Non,
02/02/2020 15:16:33,Histoire (Politique & Date),Question classique,Quel animal est souvent comparé à Marine Lepen,La Truie,1,cousin,Non,
02/02/2020 15:43:05,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,Qu'était l'ORTF.,"L'Office de radiodiffusion-télévision française (ORTF) est un établissement public à caractère industriel et commercial créé en 1964 et remplacé en 1974, ayant pour mission la tutelle de la radiodiffusion et de la télévision publique, la gestion des émetteurs et de la production audiovisuelle nationales et régionales.",3,Pat le boss,Non,
02/02/2020 15:52:10,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,Quelle religion a pour fondement les 4 nobles vérités,Le bouddhisme.,2,Pat le boss,,
02/02/2020 16:29:05,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,Pourquoi doit on dire sané quand on trinque?,parceque l on trinque à la sans T,1,cousin,Non,
02/02/2020 16:30:22,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,Comment est fonzy dans la serie happy days?,il est cool,1,cousin,Non,
02/02/2020 16:32:37,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,Que met on comme crudités dans un kebab,salade tomate oignon,1,cousin,Non,
02/02/2020 19:10:16,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma), Science & Nature (Sciences Formelle, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,"Qui est l auteur de ""la révolution d un seul brin de paille"" ?",Masanobu Fukuoka,4,Jean-Marc ,Non,
02/02/2020 19:15:57,Géographie (Cartographie & Géographie humaine),Question classique,A combien estime t on la population amérindienne précolombienne ?,Entre 43 et 65 millions d'habitants pour l'ensemble des Amériques.,5,Jean-Marc ,Non,
03/02/2020 23:03:04,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question JO d'un autre siècle,"Quelle gymnaste roumaine, médaillée d'or aux JO 1980, a été naturalisée américaine après sa carrière ?",Nadia Comaneci,4,Félicien,Non,
03/02/2020 23:05:13,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)","QCM (séparer les choix avec des "";"" )","Lequel de ces acteurs n'apparaît pas dans RrRrrr : Joey Starr, Gérard Depardieu, Jean Rochefort, Christian Clavier",Christian Clavier,2,Félicien,Non,
03/02/2020 23:07:07,Géographie (Cartographie & Géographie humaine),Question classique,Où se trouve Petaouchnok ?,Nulle part (ça n'existe pas),1,Félicien,Non,
03/02/2020 23:08:36,Histoire (Politique & Date),Question classique,Jésus est il né avant ou après Jésus Christ ?,Avant (en l'an -6 selon les historiens),1,Félicien,Non,
03/02/2020 23:10:28,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Quel livre est commun à la Torah et à la bible ?,L'ancien testament (tanakh dans la Torah),1,Félicien,Non,
03/02/2020 23:17:13,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,"Comment appelle t-on l'implosion d'une étoile en fin de vie, souvent accompagnée d'une très grande augmentation de sa luminosité ?",Une supernova,2,Félicien,Non,
04/02/2020 01:14:58,Géographie (Cartographie & Géographie humaine),Question classique,Quelle ville états-unienne ne fait partie d'aucun État ?,"Washington DC, Washington, Washington D.C., Washington D.C, Washington DC., D.C., DC",3,tiBourdin,Non,
04/02/2020 10:43:56,Géographie (Cartographie & Géographie humaine),Question classique,"En cartographie, que signifie CRS ? (ACAB cependant)",Coordinate Reference Systeme,3,Clem,Non,
04/02/2020 10:51:42,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,"Grâce aux observation de quelle astronome, Keppler à pu écrire ses 3 lois éponymes ?",Tycho Brahe,3,Clem,Non,
04/02/2020 10:55:36,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,"En navigation, comment s'appellent les 3 angles de rotation d'un navire ?","Le Roulis, le Tangage et le Lacet",2,Clem,Non,
04/02/2020 11:00:14,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Quelle mouvement ont les autres planètes du système solaire dans un référentiel géocentrique ?,Un mouvement épicycloïdal ,4,Clem,Non,
05/02/2020 11:15:36,Géographie (Cartographie & Géographie humaine),Question classique,Comment s'appelle respectivement les deux tours Mercuriale à Bagnolet ?,La Tour Levant et la Tour Ponant,5,Clem,Non,
05/02/2020 11:18:42,Géographie (Cartographie & Géographie humaine),Question classique,Quel est le plus grand immeuble d'Ile de France ?,La Tour First (231 m),3,Clem,Non,
05/02/2020 11:20:54,Géographie (Cartographie & Géographie humaine),Question classique,"En 2019, combien y avait-il d'immeuble de plus de 100 m à La Défense ? (à 5 près)",35,3,Clem,Non,
05/02/2020 11:22:33,Géographie (Cartographie & Géographie humaine),Question classique,Quelle est la hauteur de l'Arche de la Défense ? (à 5 m près),110 m,2,Clem,Non,
05/02/2020 11:26:01,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,Qu'est ce que un Ironman ? (Et non pas Iron man) personnage ,"Un triathlon (dans le langage commun, il s'agit du triathlon le plus long)",2,Gogo,Non,
05/02/2020 11:27:51,Géographie (Cartographie & Géographie humaine),Question classique,Quelle particularité a le fleuve Tarim ?,C'est le plus long fleuve sans embouchure au monde,4,Clem,Non,
05/02/2020 11:28:46,Géographie (Cartographie & Géographie humaine),Question classique,Quelle est le plus petit fleuve de France ?,La Veules (1.15 km),3,Clem,Non,
05/02/2020 11:29:36,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"Dans un Ironman, la distance classique de natation est de 3,8km et de 42km de course, mais quelle distance, à un kilomètre près, les coureurs doivent-ils parcourir à vélo ? ","180 km (180,2km en vrai)",4,Gogo,Non,
05/02/2020 11:29:53,Géographie (Cartographie & Géographie humaine),Question classique,Quelle est la longueur du plus petit fleuve de France ?,1.15 km,4,Clem,Non,
05/02/2020 11:35:06,Histoire (Politique & Date),Question classique,Par quelle jour de la semaine a commencé l'année 2000 ?,Un samedi,1,Clem,Non,
05/02/2020 11:37:28,Histoire (Politique & Date),Question classique,En quelle année la dynastie des Capétiens accède-t-elle au trône de France ?,En 987,3,Clem,Non,
05/02/2020 11:42:46,Histoire (Politique & Date),Question classique,Quels sont les deux événements qui délimitent la période des Cents Jours ? (dans sa version réduite),Le retour de Napoléon aux Tuileries et sa seconde abdication.,3,Clem,Non,
05/02/2020 11:43:46,Histoire (Politique & Date),Question classique,À quelle âge est mort Napoléon ?,À  51 ans,2,Clem,Non,
05/02/2020 13:35:37,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"Au Catane, quelles sont les ressources nécessaires pour améliorer une colonie en ville ?",3 pierres et 2 blés,3,Tiéno,Non,
05/02/2020 13:40:26,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"Au Catane extension villes et chevaliers, quelle carte permet de voler un chevalier à un autre joueur ?",transfuge,3,Tiéno,Non,
05/02/2020 13:41:30,Histoire (Politique & Date),Question classique,"Où est née Joséphine de Beauharnais, première épouse de Napoléon ?",En Martinique,3,Clem,Non,
05/02/2020 13:42:45,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"Au Catane extension villes et chevaliers, quelle carte permet de choisir la valeur des dés ?",alchimiste,3,Tiéno,Non,
05/02/2020 13:43:19,Histoire (Politique & Date),Question classique,Quelle était la profession de Maximilien de Robespierre ?,Avocat,2,Clem,Non,
05/02/2020 13:45:11,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"Au Catane extension villes et chevaliers, en combien de points de victoire une partie se termine ?",13,3,Tiéno,Non,
05/02/2020 13:45:34,Géographie (Cartographie & Géographie humaine),Question classique,Combien de ligne de bus RATP desservent la ville de Montreuil ?,12,2,Clem,Non,
05/02/2020 13:47:01,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"Au Catane extension villes et chevaliers, combien de cartes progrès peut-on avoir au maximum ?",4,3,Tiéno,Non,
05/02/2020 13:51:40,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"Au volley-ball, pour quelle nation joue Wilfredo Leon ?",la Pologne,3,Tiéno,Non,
05/02/2020 13:52:59,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"Au volley-ball,quel poste occupe le joueur Bruno Rezende ?",passeur,4,Tiéno,Non,
05/02/2020 13:55:04,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"Au volley-ball, quel geste technique consiste à placer sa main entre la balle et le sol ?",la corse / pancake,4,Tiéno,Non,
05/02/2020 13:56:48,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"Au volley-ball, quel est le seul joueur à avoir un maillot différent de ses coéquipiers ?",le libéro,3,Tiéno,Non,
05/02/2020 14:01:42,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"Au Catane, combien y a-t-il de tuiles sur le plateau ?",19,4,Tiéno,Non,
05/02/2020 14:11:19,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"En cuisine, qu'est-ce qu'un chinois ?",une passoire conique,3,Tiéno,Non,
05/02/2020 14:21:05,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Quel est le poisson le plus rapide ?,le marlin bleu,4,Tiéno,Non,
05/02/2020 14:57:08,Histoire (Politique & Date),Question classique,Qu'est-ce que l'OMPI ?,Organisation mondiale de la propriété intellectuelle ,2,Gogo,Non,
05/02/2020 14:58:36,Géographie (Cartographie & Géographie humaine),Question classique,Dans quelle ville se trouve le musée de l'Ermitage ?,Saint-Pétersbourg,2,Gogo,Non,
05/02/2020 15:02:06,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"Qu'on en commun ""Lola"", ""les papillons"" et ""la mousse"" ? ",Le groupe Superbus (qui c'est attardé à faire des chansons sur ces trois sujets),3,Gogo,Non,
05/02/2020 15:03:08,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,Quel mangaka a écrit Quartier Lointain ?,Jirō Taniguchi,4,Clem,Non,
05/02/2020 15:04:46,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,"Qui a écrit La Distinction, Critique sociale du jugement ?",Pierre Bourdieu,1,Clem,Non,
05/02/2020 15:08:06,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,"En quelle année a été fondée la revue littéraire La Revue des Deux Mondes, qui est encore en parution mensuelle ?",En 1829,4,Clem,Non,
05/02/2020 15:10:16,Histoire (Politique & Date),Question classique,Et c'est laquelle la peste noire ?,Celle qui a la plus grande bite,2,Tiéno,Oui,
05/02/2020 15:11:28,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,Quel est le prix du Figaro ? (édition standard),2.80 €,2,Clem,Non,
05/02/2020 15:13:06,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,Quel ustensile permet d'aiguiser les couteaux de cuisine ?,un fusil,3,Tiéno,Non,
05/02/2020 15:15:26,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Que signifient les acronymes RVB et TSL?,"Rouge Vert Bleu et Teinte Saturation Luminosité, utilisées pour décrie une couleur",2,Clem,Non,
05/02/2020 15:18:54,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Qu'est-ce que le Test d'Ishihara ?,Un test chromatique pour identifier les daltoniens,2,Clem,Non,
05/02/2020 15:22:04,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,"John Dalton à présenté, en 1794, une théorie sur le daltonisme. Mais de quel problème de vue souffrait-il ?",De Daltonisme,1,Clem,Non,
05/02/2020 15:23:31,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Quel est l'unité de mesure de la luminosité d'une étoile ?,La magnitude,3,Clem,Non,
05/02/2020 15:25:41,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"Dans League of Legend, quel sort d'invocateur permet de se téléporter instantanément ?",flash,3,Tiéno,Non,
05/02/2020 15:31:30,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Citer 2 des 10 étoiles les plus brillantes à l’œil nu vues depuis la Terre.,"Sirius, Canopus, Arcturus, Alpha Centauri A, Véga, Rigel, Procyon, Achernar, Bételgeuse, Hadar",5,Clem,Non,
05/02/2020 15:37:09,Montreuil,Question classique,Quels étaient les ingrédients du cocktail du chef de Mérovée au Moulin ?,"Gin, Ricard et Rhum",3,Clem,Non,
05/02/2020 15:37:47,Montreuil,Question classique,Qui a cassé la table de bière-pong en Bourgogne ?,Anatole,1,Clem,Non,
